OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y,temperature,wind_speed,water_flow,cloud_cover,estimated_output
2347,H0171,Electra,0,Pacific Gas & Electric (PG&E),Amador,99.0,"Unit 575, Unit 576, Unit 577",WAT,6/29/1948 0:00,0.0,-120.6699994,38.33100429,4.06,0.0,0.0,0,29.7
2348,H0022,Beardsley,0,Tri-Dam Project & Tri-Dam Power Authority,Tuolumne,11.7,1,WAT,7/1/1956 0:00,0.0,-120.0770442,38.20253424,-1.2,3.55,0.0,40,3.51
2349,H0145,Donnells,0,Tri-Dam Project & Tri-Dam Power Authority,Tuolumne,72.0,1,WAT,7/1/1956 0:00,0.0,-120.0341499,38.24647926,-1.65,3.68,0.0,20,21.599999999999998
2351,S9309,Chalk Hill Solar Project  LLC_(CHSP),0,Not Available,Sonoma,0.3,Unit 1,SUN,12/31/2013 0:00,0.0,-122.7501933,38.49370596,4.31,0.0,0.0,0,0.060365051999999995
2353,H0343,Monticello,0,Solano Irrigation District,Yolo,11.5,"1, 2, 3",WAT,6/1/1983 0:00,0.0,-122.1041786,38.51355511,3.4,0.0,0.0,0,3.4499999999999997
2354,S9404,Putah Creek Solar Farm,0,Not Available,Yolo,2.0,1,SUN,12/1/2014 0:00,0.0,-121.9946675,38.5215985,3.39,0.0,0.0,0,0.40397192
2355,S0630,Genentech Inc. - Vacaville,0,Tesla Inc.,Solano,7.9,"Unit 1, Unit 2",SUN,5/8/2017 0:00,0.0,-121.9454871,38.38808503,3.98,0.0,0.0,0,1.591792488
2356,S9006,Alza Corporation (700 Eubanks),0,Not Available,Solano,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9643231,38.40023113,3.89,0.0,0.0,0,0.20156796
2357,S9009,Mariani Packing Co. Inc.,0,Not Available,Solano,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9509083,38.40698241,3.93,0.0,0.0,0,0.20153452
2358,S9100,Norvartis Pharmaceuticals Corp,0,Not Available,Solano,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9628171,38.38849893,3.87,0.0,0.0,0,0.20158468
2360,S0110,Vaca Dixon Solar Station,0,Pacific Gas & Electric (PG&E),Solano,2.0,1,SUN,12/22/2009 0:00,0.0,-121.9264219,38.41073401,3.98,0.0,0.0,0,0.40298544000000003
2361,S9108,Superior Packing Co.,0,Not Available,Solano,1.1,1,SUN,1/1/2012 0:00,0.0,-121.8205444,38.42055077,3.66,0.0,0.0,0,0.221936264
2362,W0405,Superior Farms,0,Foundation Windpower,Solano,1.0,WPRS 1,WND,12/1/2012 0:00,0.0,-121.8174537,38.42012385,3.66,0.0,0.0,0,0.0
2363,S0310,Grasslands EPWF,0,Yolo County General Services,Yolo,2.5,1,SUN,7/1/2013 0:00,0.0,-121.6944322,38.50153924,3.17,0.0,0.0,0,0.5054247
2364,S0311,Grasslands RES-BCT,0,Yolo County General Services,Yolo,2.5,1,SUN,7/1/2013 0:00,0.0,-121.6923464,38.50159921,3.17,0.0,0.0,0,0.5054247
2366,S0660,Sacramento Regional County Sanitation District,0,Tesla Inc.,Sacramento,3.73,Unit 1,SUN,1/26/2018 0:00,0.0,-121.4661424,38.43619627,3.82,1.54,0.0,0,0.7520667704
2367,S9092,Siemens Industry Inc.,0,Not Available,Sacramento,1.0,1,SUN,1/1/2012 0:00,0.0,-121.3923821,38.48741041,3.83,1.54,0.0,0,0.20161811999999998
2368,S9102,Granite Construction Company,0,Not Available,Sacramento,1.1,1,SUN,1/1/2012 0:00,0.0,-121.4057884,38.54287508,3.91,1.54,0.0,0,0.22170636400000002
2369,S9139,Campbell Soup Supply Company LLC,0,Not Available,Sacramento,2.0,1,SUN,1/1/2012 0:00,0.0,-121.4756082,38.51675401,3.84,1.54,0.0,0,0.40321951999999994
2370,S9147,U.S. National Leasing LLC_(Depot Park),0,Not Available,Sacramento,3.0,1,SUN,1/1/2012 0:00,0.0,-121.401387,38.51535397,3.86,1.54,0.0,0,0.60477912
2374,S0090,Hedge PV (S0090),0,Sacramento Municipal Utility District (SMUD),Sacramento,0.2,1,SUN,6/1/1994 0:00,0.0,-121.3540542,38.50517674,3.83,1.54,0.0,0,0.040323624
2375,S0280,RE Dillard Road 1,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 0:00,0.0,-121.1826038,38.46998654,3.66,1.54,0.0,0,0.8050233576
2376,S0281,RE Dillard Road 2,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 0:00,0.0,-121.1775981,38.46683294,3.66,1.54,0.0,0,0.8050233576
2377,S0282,RE Dillard Road 3,0,Canadian Solar,Sacramento,3.99,1,SUN,1/1/2012 0:00,0.0,-121.1823891,38.46395492,3.66,1.54,0.0,0,0.8050233576
2378,S0283,RE Dillard Road 4,0,Canadian Solar,Sacramento,0.53,1,SUN,1/1/2012 0:00,0.0,-121.1801686,38.46279946,3.66,1.54,0.0,0,0.1069329272
2379,S9097,FAA Norcal TRACON,0,Not Available,Sacramento,1.0,1,SUN,1/1/2012 0:00,0.0,-121.2590563,38.56134046,3.75,1.54,0.0,0,0.20168499999999998
2382,S9107,Nilsen Farms,0,Not Available,Sacramento,1.1,1,SUN,1/1/2012 0:00,0.0,-121.1635997,38.45015476,3.66,1.54,0.0,0,0.221936264
2383,H0516,Tiger Creek,0,Pacific Gas & Electric (PG&E),Amador,60.0,"Unit 584, Unit 585",WAT,8/1/1931 0:00,0.0,-120.4926351,38.44909128,0.17,1.61,0.0,99,18.0
2384,H0558,West Point,0,Pacific Gas & Electric (PG&E),Amador,14.0,Unit 586,WAT,11/21/1948 0:00,0.0,-120.5494827,38.42090257,0.91,1.22,0.0,100,4.2
2385,S9182,Fresh Air Energy  LLC_(Pioneer 1),0,Not Available,Amador,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-120.5954275,38.41324673,-0.75,0.0,0.0,0,0.3081705
2386,H0431,Salt Springs,0,Pacific Gas & Electric (PG&E),Amador,46.0,"Unit 580, Unit 581",WAT,6/15/1931 0:00,0.0,-120.2181542,38.49789352,-2.34,3.5,0.0,71,13.799999999999999
2387,H0356,Spicer,0,Northern California Power Agency,Tuolumne,6.0,"GEN 1, GEN 2, GEN 3",WAT,2/1/1990 0:00,0.0,-120.00077,38.39159936,-7.31,3.63,0.0,26,1.7999999999999998
2389,H0485,Warm Springs,0,Sonoma County Water Agency,Sonoma,2.79,3385,WAT,12/1/1988 0:00,0.0,-123.011274,38.72212151,5.91,0.89,0.0,100,0.837
2390,S9055,Clos Du Bois Wines Inc.,0,Not Available,Sonoma,1.0,1,SUN,1/1/2012 0:00,0.0,-122.8778117,38.68492006,5.63,2.13,0.0,100,0.0
2392,S9082,Cemex Construction Materials Pacific LLC,0,Not Available,Yolo,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9463289,38.68235455,2.61,2.08,0.0,1,0.2008599516
2393,W0399,Cemex Madison,0,Foundation Windpower,Yolo,1.0,WPRS 1,WND,11/1/2011 0:00,0.0,-121.9352091,38.68762225,2.73,2.08,0.0,1,0.0
2394,S0115,Yolo County Solar Project,0,Yolo County General Services,Yolo,1.0,1,SUN,7/1/2010 0:00,0.0,-121.7295241,38.65993745,3.4,1.54,0.0,0,0.2019776
2395,S9010,Co. Inc. #21 Walgreens,0,Not Available,Yolo,1.0,1,SUN,1/1/2012 0:00,0.0,-121.7127443,38.67498592,3.47,1.54,0.0,0,0.20191908
2396,S9022,Tony's Fine Foods,0,Not Available,Yolo,1.0,1,SUN,1/1/2012 0:00,0.0,-121.5610083,38.59150207,3.65,1.54,0.0,0,0.20176860000000002
2397,S9110,Amir Development Company,0,Not Available,Yolo,1.1,1,SUN,1/1/2012 0:00,0.0,-121.7139229,38.67502369,3.47,1.54,0.0,0,0.222110988
2400,S0405,Strata Roof 1,0,Strata Clean Energy,Sacramento,1.0,Unit 1,SUN,5/15/2013 0:00,0.0,-121.5062058,38.6427292,3.79,1.54,0.0,0,0.20165156
2401,S0661,US General Service Administration - Sacramento,0,Tesla Inc.,Sacramento,1.38,Unit 1,SUN,3/29/2018 0:00,0.0,-121.3980155,38.60085957,3.9,1.54,0.0,0,0.27815224799999994
2403,S0719,Wildflower Solar 1,0,"Wildflower Solar I, LLC",Sacramento,13.0,CAWF1,SUN,12/14/2020 0:00,0.0,-121.4782364,38.70396409,3.79,1.54,0.0,0,2.62147028
2404,H0360,Nimbus,0,United States Bureau of Reclamation,Sacramento,13.5,"UNIT 1, UNIT 2",WAT,5/1/1955 0:00,0.0,-121.2203091,38.63747549,3.79,1.54,0.0,0,4.05
2405,H0186,Folsom,0,United States Bureau of Reclamation,Sacramento,198.72,"1, 2, 3",WAT,6/1/1955 0:00,0.0,-121.1584726,38.70672368,3.32,0.45,0.0,31,59.616
2406,S0116,Aerojet I (3.6MW) Solar Plant,0,Altus Power America Inc,Sacramento,3.6,Aerojet I,SUN,12/23/2009 0:00,0.0,-121.1631206,38.61361985,3.51,1.54,0.0,0,0.726788304
2407,S0130,Aerojet II (2.4MW) Solar Plant,0,Altus Power America Inc,Sacramento,2.4,Aerojet II,SUN,5/21/2010 0:00,0.0,-121.1705888,38.60955662,3.52,1.54,0.0,0,0.48450547199999994
2408,S0622,Intel Corporation - Folsom Carport Phase 1,0,Tesla Inc.,Sacramento,1.1,956100-CA,SUN,7/9/2010 0:00,0.0,-121.1661023,38.64681619,3.59,1.54,0.0,0,0.222000636
2409,S0629,Intel Corporation - Folsom Carport Phase 3,0,Tesla Inc.,Sacramento,6.45,9568336-CA,SUN,9/29/2016 0:00,0.0,-121.1646431,38.64547005,3.59,1.54,0.0,0,1.301731002
2410,S9096,Intel Corporation - Folsom Carport Phase 2,0,Not Available,Sacramento,1.0,1,SUN,1/1/2012 0:00,0.0,-121.1727249,38.64423572,3.63,1.54,0.0,0,0.20178532
2411,S9098,Intel Corporation,0,Not Available,Sacramento,1.0,1,SUN,1/1/2012 0:00,0.0,-121.1677231,38.64549804,3.59,1.54,0.0,0,0.20181875999999999
2414,S0309,Cloverdale Solar I,0,GreenLead-TNX Management,Sonoma,2.0,1,SUN,6/1/2014 0:00,0.0,-123.0190857,38.77576032,5.34,0.89,0.0,100,0.0
2415,S0692,Cloverdale Solar Center,0,"Adapture Renewables, Inc.",Sonoma,1.0,Unit 1,SUN,6/11/2019 0:00,0.0,-123.0204613,38.7691713,5.51,0.89,0.0,100,0.0
2416,S9013,Fosters Wine Estates Inc.,0,Not Available,Sonoma,1.0,1,SUN,1/1/2012 0:00,0.0,-122.9726483,38.76256278,5.88,0.89,0.0,100,0.0
2417,S9305,Cloverdale Solar 1  LLC_(FSEC1),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-123.0170774,38.77389589,5.42,0.89,0.0,100,0.0
2418,S9306,Cloverdale Solar 2  LLC_(FSEC2),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-123.0166511,38.77475196,5.41,0.89,0.0,100,0.0
2437,H0576,Clear Lake,0,Yolo County Flood Control & Water Conservation District,Lake,2.5,3381,WAT,1/1/1986 0:00,0.0,-122.5666544,38.92354984,2.54,2.31,0.0,100,0.75
2438,S9051,Power Agency Northern California,0,Not Available,Lake,1.0,1,SUN,1/1/2012 0:00,0.0,-122.6509539,38.77048062,2.89,2.37,0.0,100,0.0
2440,S9008,Foods Inc. United Natural,0,Not Available,Placer,1.0,1,SUN,1/1/2012 0:00,0.0,-121.2831919,38.81412884,3.56,0.45,0.0,0,0.20184384
2441,S9268,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #A),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-121.3317276,38.90803998,3.26,1.18,0.0,39,0.1938663936
2442,S9269,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #B),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-121.3043748,38.87011875,3.4,0.9,0.0,36,0.20256614400000003
2443,S9270,Lincoln Solar Millenium Fund LLC_(Nicholas Solar #C),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-121.2968506,38.87252688,3.4,0.9,0.0,36,0.20256614400000003
2448,H0357,Newcastle,0,Pacific Gas & Electric (PG&E),Placer,11.5,Unit 943,WAT,10/28/1986 0:00,0.0,-121.0929781,38.83523352,3.13,0.45,0.0,0,3.4499999999999997
2449,H0569,Wise,0,Pacific Gas & Electric (PG&E),Placer,17.1,"Unit 1, Unit 2",WAT,3/4/1917 0:00,0.0,-121.0985213,38.8897785,2.2,0.45,0.0,0,5.13
2450,H0096,Chili Bar,0,Sacramento Municipal Utility District (SMUD),El Dorado,7.02,1,WAT,3/1/1965 0:00,0.0,-120.8131446,38.77182621,3.3,0.95,0.0,90,2.106
2451,H0167,El Dorado,0,El Dorado Irrigation District,El Dorado,20.0,"1, 2",WAT,1/26/1924 0:00,0.0,-120.6191481,38.79350586,0.97,0.45,0.0,89,6.0
2452,H0422,Rock Creek L.P.,0,Hydroland,El Dorado,3.6,"1, 2",WAT,4/1/1986 0:00,0.0,-120.7784816,38.7834169,3.09,1.08,0.0,87,1.08
2453,H0482,Slab Creek,0,Sacramento Municipal Utility District (SMUD),El Dorado,0.4,1,WAT,7/1/1983 0:00,0.0,-120.6981056,38.7725536,1.69,1.52,0.0,85,0.12
2454,H0565,White Rock,0,Sacramento Municipal Utility District (SMUD),El Dorado,230.0,"Unit 1, Unit 2",WAT,6/1/1968 0:00,0.0,-120.7873584,38.76530602,2.99,0.87,0.0,91,69.0
2455,H0081,Camino,0,Sacramento Municipal Utility District (SMUD),El Dorado,308.0,"1, 2, H1, H2",WAT,10/1/1963 0:00,0.0,-120.5366207,38.82829407,-0.47,0.45,0.0,89,92.39999999999999
2456,H0253,Jaybird,0,Sacramento Municipal Utility District (SMUD),El Dorado,154.0,"Unit 1, Unit 2",WAT,4/1/1961 0:00,0.0,-120.531701,38.834069,-0.47,0.45,0.0,89,46.199999999999996
2457,H0532,Union Valley,0,Sacramento Municipal Utility District (SMUD),El Dorado,46.7,Unit 1,WAT,10/1/1963 0:00,0.0,-120.4443252,38.86430881,-3.79,2.99,0.0,89,14.01
2458,H0255,Jones Fork,0,Sacramento Municipal Utility District (SMUD),El Dorado,11.5,Unit 1,WAT,6/1/1985 0:00,0.0,-120.3818697,38.85029596,-4.5,3.1,0.0,88,3.4499999999999997
2459,H0414,Robbs Peak,0,Sacramento Municipal Utility District (SMUD),El Dorado,29.5,Unit 1,WAT,10/1/1965 0:00,0.0,-120.3782885,38.89649089,-4.78,3.14,0.0,89,8.85
2460,S9015,County of Lake,0,Not Available,Lake,1.0,1,SUN,1/1/2012 0:00,0.0,-122.9190936,39.10665851,1.8,1.72,0.0,99,0.002281444000000002
2461,H0243,Indian Valley Dam,0,Yolo County Flood Control & Water Conservation District,Lake,3.01,"1641, 1642, 8332",WAT,10/1/1983 0:00,0.0,-122.5355669,39.078835,3.58,2.13,0.0,94,0.9029999999999999
2462,S9019,Power Agency Northern CA,0,Not Available,Lake,1.0,1,SUN,1/1/2012 0:00,0.0,-122.6270227,38.98407632,3.48,2.28,0.0,100,0.0
2467,S9311,Pristine Sun Fund 8 Sutter PGE LLC_(2179_Smotherman),0,Not Available,Sutter,0.5,Unit 1,SUN,12/31/2013 0:00,0.0,-121.4985505,39.09393353,2.43,1.34,0.0,0,0.10139426
2469,H0083,Camp Far West,0,Sacramento Municipal Utility District (SMUD),Placer,6.8,1,WAT,2/1/1985 0:00,0.0,-121.3169787,39.04879252,2.68,0.0,0.0,0,2.04
2470,H0054,Combie South (3 @ 500kW = 1.5MW),0,Nevada Irrigation District,Nevada,1.5,1,WAT,4/27/1984 0:00,0.0,-121.0590655,39.00962617,1.17,0.0,0.0,0,0.44999999999999996
2471,H0109,Combie North (550 kW),0,Nevada Irrigation District,Placer,0.3,6P,WAT,10/1/1987 0:00,0.0,-121.0587405,39.01017581,1.17,0.0,0.0,0,0.09
2472,H0217,Halsey,0,Pacific Gas & Electric (PG&E),Placer,11.0,Unit 569,WAT,12/6/1916 0:00,0.0,-121.0419116,38.95696446,1.11,0.0,0.0,0,3.3
2473,H0374,Oxbow,0,Placer County Water Agency,Placer,6.0,915,WAT,10/1/1966 0:00,0.0,-120.7465513,39.0035435,3.29,0.89,0.0,62,1.7999999999999998
2474,H0406,Ralston,0,Placer County Water Agency,Placer,79.0,914,WAT,10/1/1966 0:00,0.0,-120.7250536,39.00097162,2.84,0.89,0.0,62,23.7
2475,H0275,Middle Fork American River,0,Placer County Water Agency,Placer,116.0,"UNIT 1, UNIT 2",WAT,10/1/1966 0:00,0.0,-120.5963577,39.02473756,0.18,2.9,0.0,52,34.8
2476,H0195,French Meadows,0,Placer County Water Agency,Placer,15.0,911,WAT,10/1/1966 0:00,0.0,-120.4060944,39.07796922,-4.85,2.9,0.0,71,4.5
2477,H0228,Hell Hole,0,Placer County Water Agency,Placer,0.73,1,WAT,7/1/1983 0:00,0.0,-120.4080589,39.05647585,-4.26,2.92,0.0,75,0.219
2478,H0289,Loon Lake,0,Sacramento Municipal Utility District (SMUD),El Dorado,82.0,Unit 1,WAT,9/1/1971 0:00,0.0,-120.3244777,38.98271096,-8.07,2.66,0.0,98,24.599999999999998
2479,H0283,Lake Mendocino,0,City of Ukiah,Mendocino,3.5,"G1, G2",WAT,5/1/1987 0:00,0.0,-123.1858144,39.19755399,3.66,0.89,0.0,0,1.05
2480,S9052,Community College Mendocino,0,Not Available,Mendocino,1.0,1,SUN,1/1/2012 0:00,0.0,-123.2235481,39.18625096,3.49,0.89,0.0,0,0.20190235999999998
2481,S9264,East Side Calpella 2MW PV Project (1) (2012 PV RFO - 1),0,Not Available,Mendocino,2.0,Unit 1,SUN,12/31/2014 0:00,0.0,-123.1947562,39.14304738,3.74,0.89,0.0,0,0.40338672
2482,S9265,Parducci 2MW PV Project (3) (2012 PV RFO - 1),0,Not Available,Mendocino,2.0,Unit 1,SUN,12/31/2014 0:00,0.0,-123.1947562,39.14304738,3.74,0.89,0.0,0,0.40338672
2483,S9266,Ruddick-2 2MW PV Project (4) (2012 PV RFO - 1),0,Not Available,Mendocino,2.0,Unit 1,SUN,12/31/2014 0:00,0.0,-123.1947562,39.14304738,3.74,0.89,0.0,0,0.40338672
2485,S9032,Lomo Cold Storage LLC,0,Not Available,Sutter,1.0,1,SUN,1/1/2012 0:00,0.0,-121.6394168,39.2199445,2.49,0.0,0.0,0,0.20273836
2486,S9099,City of Yuba,0,Not Available,Sutter,1.0,1,SUN,1/1/2012 0:00,0.0,-121.636616,39.144094,2.45,0.0,0.0,0,0.20277179999999997
2487,S9310,Pristine Sun Fund 1  LLC_(2127_Harris),0,Pristine Sun LLC,Butte,1.25,Unit 1,SUN,12/31/2013 0:00,0.0,-121.6694843,39.29212295,3.06,1.5,0.0,3,0.24615476599999997
2490,S9078,Yuba College,0,Not Available,Yuba,1.0,1,SUN,1/1/2012 0:00,0.0,-121.5339974,39.12511967,2.42,0.0,0.0,0,0.20279687999999998
2491,H0348,Narrows 1,0,Yuba County Water Agency,Nevada,12.0,Unit 553,WAT,12/29/1942 0:00,0.0,-121.2717124,39.23638355,2.55,0.0,0.0,0,3.5999999999999996
2492,H0354,Narrows 2,0,Yuba County Water Agency,Yuba,55.0,1,WAT,6/5/1970 0:00,0.0,-121.2703519,39.23903734,2.67,0.0,0.0,0,16.5
2493,H0005,Alta,0,Pacific Gas & Electric (PG&E),Placer,1.0,"1, 2",WAT,11/1/1902 0:00,0.0,-120.8035115,39.21598098,-1.6,0.0,0.0,20,0.3
2494,H0095,Chicago Park,0,Nevada Irrigation District,Nevada,44.0,UNIT 1,WAT,11/1/1965 0:00,0.0,-120.8910418,39.17811549,0.5,0.0,0.0,20,13.2
2495,H0133,Deer Creek,0,Pacific Gas & Electric (PG&E),Nevada,5.5,1,WAT,5/1/1908 0:00,0.0,-120.8441582,39.29811858,-2.15,0.0,0.0,20,1.65
2496,H0156,Dutch Flat #1,0,Pacific Gas & Electric (PG&E),Placer,22.0,Unit 568,WAT,3/29/1943 0:00,0.0,-120.8356504,39.21696738,0.14,0.0,0.0,20,6.6
2497,H0157,Dutch Flat 2,0,Nevada Irrigation District,Nevada,27.3,UNIT 1,WAT,11/1/1965 0:00,0.0,-120.8353231,39.21834872,0.14,0.0,0.0,20,8.19
2498,H0347,Scotts Flat (860kW Nameplate Capacity),0,Nevada Irrigation District,Nevada,1.0,7P,WAT,2/1/1985 0:00,0.0,-120.932508,39.27211082,-0.91,0.0,0.0,20,0.3
2499,H0424,Rollins,0,Nevada Irrigation District,Nevada,13.5,UNIT 1,WAT,8/1/1980 0:00,0.0,-120.9532567,39.13426831,1.15,0.0,0.0,20,4.05
2500,H0154,Drum #1,0,Pacific Gas & Electric (PG&E),Placer,55.5,"Unit 563, Unit 564, Unit 565, Unit 566",WAT,11/26/1913 0:00,0.0,-120.7672907,39.2568514,-1.06,2.71,0.0,41,16.65
2501,H0155,Drum #2,0,Pacific Gas & Electric (PG&E),Placer,49.5,Unit 567,WAT,12/18/1965 0:00,0.0,-120.7668888,39.25734281,-1.06,2.71,0.0,41,14.85
2504,H0401,Potter Valley,0,Pacific Gas & Electric (PG&E),Mendocino,9.46,"1, 2, 3",WAT,2/1/1939 0:00,0.0,-123.1279555,39.36180738,3.78,5.36,0.0,99,2.838
2506,S9120,Roplast Industries Inc.,0,Not Available,Butte,1.2,1,SUN,1/1/2012 0:00,0.0,-121.5623726,39.47750468,2.78,0.0,0.0,0,0.242995104
2507,S9183,Pristine Sun Fund 1  LLC_(2125_Jarvis),0,Not Available,Butte,1.0,Unit 1,SUN,12/31/2013 0:00,0.0,-121.5661698,39.48359823,2.79,0.0,0.0,0,0.20248755999999998
2508,S9184,Pristine Sun Fund 1  LLC_(2094_Buzzelle),0,Not Available,Butte,1.25,Unit 1,SUN,12/31/2013 0:00,0.0,-121.5639017,39.38780701,4.11,0.0,0.0,0,0.25173005
2511,H0352,Colgate,0,Yuba County Water Agency,Yuba,315.0,"1, 2",WAT,3/12/1970 0:00,0.0,-121.18884,39.33091649,2.33,0.0,0.0,20,94.5
2512,H0053,Fish Power (NPCap = 0.15MW - No Reporting RQD),0,Yuba County Water Agency,Yuba,0.15,HY1,WAT,6/1/1986 0:00,0.0,-121.140498,39.39019935,0.14,2.46,0.0,60,0.045
2513,H0351,Bowman,0,Nevada Irrigation District,Nevada,3.6,Unit 1,WAT,9/1/1986 0:00,0.0,-120.6534217,39.44834109,-3.66,1.54,0.0,0,1.08
2514,H0490,Spaulding #1,0,Pacific Gas & Electric (PG&E),Nevada,7.04,1,WAT,5/1/1928 0:00,0.0,-120.644773,39.32462215,-2.23,1.54,0.0,0,2.112
2515,H0491,Spaulding #2,0,Pacific Gas & Electric (PG&E),Nevada,3.7,1,WAT,7/1/1928 0:00,0.0,-120.6453057,39.32460728,-2.23,1.54,0.0,0,1.11
2516,H0492,Spaulding #3,0,Pacific Gas & Electric (PG&E),Nevada,6.61,572,WAT,1/1/1929 0:00,0.0,-120.6355275,39.33767536,-2.77,1.54,0.0,0,1.983
2517,H0497,Stampede,0,United States Bureau of Reclamation,Sierra,3.65,"1, 2",WAT,1/1/1988 0:00,0.0,-120.1045254,39.47040867,-2.6,0.0,0.0,100,1.095
2519,H0500,Stony Gorge,0,Silicon Valley Power,Glenn,5.0,"1, 2",WAT,4/1/1986 0:00,0.0,-122.5332341,39.58681604,3.31,2.37,0.0,25,1.5
2520,S9007,Rice Mill Inc. Far West,0,Not Available,Butte,1.0,1,SUN,1/1/2012 0:00,0.0,-121.8517954,39.55096594,4.12,1.8,0.0,2,0.19783973439999997
2521,H0510,Thermalito (Unit 1 HY Unit 2-3-4 Pumping-Generating),0,California Department of Water Resources,Butte,115.1,"1, 2, 3, 4",WAT,11/1/1968 0:00,0.0,-121.6300662,39.51480268,3.82,0.0,0.0,0,34.529999999999994
2524,H0164,"Edward C Hyatt (Unit 1,3,5 Pumping-Generating)",0,California Department of Water Resources,Butte,644.25,"1, 2, 3, 4, 5, 6",WAT,3/1/1968 0:00,0.0,-121.4922683,39.54289422,1.4,0.0,0.0,0,193.275
2525,H0263,Kelly Ridge,0,South Feather Water and Power,Butte,10.0,1,WAT,9/1/1963 0:00,0.0,-121.4912353,39.53167441,2.46,0.0,0.0,0,3.0
2526,H0511,Thermalito Diversion Dam,0,California Department of Water Resources,Butte,2.97,TD1,WAT,7/1/1987 0:00,0.0,-121.5463328,39.52875707,2.64,0.0,0.0,0,0.891
2527,S9185,Pristine Sun Fund 6 Butte PGE LLC_(2096_Cotton),0,Not Available,Butte,1.0,Unit 1,SUN,12/31/2013 0:00,0.0,-121.4593552,39.50830805,1.33,0.0,0.0,0,0.20370812
2528,H0191,Forbestown,0,South Feather Water and Power,Butte,39.7,1,WAT,10/1/1963 0:00,0.0,-121.2787204,39.55097097,0.92,2.76,0.0,46,11.91
2529,H0427,Kanaka,0,Not Available,Butte,1.12,KAN1,WAT,12/1/1988 0:00,0.0,-121.2961959,39.55891815,0.52,2.89,0.0,42,0.336
2530,H0573,Woodleaf,0,South Feather Water and Power,Butte,55.0,1,WAT,11/1/1963 0:00,0.0,-121.204059,39.55392012,-0.25,2.89,0.0,59,16.5
2531,H0362,Deadwood Creek,0,Not Available,Yuba,2.0,1,WAT,12/1/1993 0:00,0.0,-121.0957647,39.52999581,-0.57,3.05,0.0,77,0.6
2532,H0484,Sly Creek,0,South Feather Water and Power,Butte,13.2,1,WAT,7/1/1983 0:00,0.0,-121.119566,39.5804535,-3.13,3.2,0.0,81,3.9599999999999995
2533,H0226,Lower Haypress Hydroelectric,0,Grey Rock LLC,Sierra,5.0,L GEN,WAT,1/1/1989 0:00,0.0,-120.5816807,39.56569606,-5.11,1.55,0.0,96,1.5
2534,H0623,Middle Haypress Hydroelectric,0,Grey Rock LLC,Sierra,5.0,U GEN,WAT,12/1/1988 0:00,0.0,-120.5968868,39.56571567,-4.24,1.79,0.0,91,1.5
2537,H0046,Black Butte,0,Silicon Valley Power,Tehama,6.4,1,WAT,1/1/1988 0:00,0.0,-122.3323451,39.81489471,3.62,2.55,0.0,1,1.92
2538,H0235,Highline Canal,0,Silicon Valley Power,Glenn,0.5,1,WAT,3/1/1989 0:00,0.0,-122.1556792,39.76239194,2.14,2.69,0.0,5,0.15
2539,S0583,Enerparc CA2,0,"Adapture Renewables, Inc.",Glenn,1.5,Unit 1,SUN,3/1/2016 0:00,0.0,-122.1763015,39.69916472,2.17,2.62,0.0,6,0.2883600588
2541,S9021,City of Chico,0,Not Available,Butte,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9092061,39.69603837,2.32,1.25,0.0,1,0.2010999672
2542,S9186,Pristine Sun Fund 6 Butte PGE LLC_(2129_Ballard),0,Not Available,Butte,1.0,Unit 1,SUN,12/31/2013 0:00,0.0,-121.7702998,39.70204076,2.06,0.71,0.0,4,0.19593699839999998
2543,H0092,Centerville,0,Pacific Gas & Electric (PG&E),Butte,7.3,"1, 2",WAT,6/1/1900 0:00,0.0,-121.6574255,39.78887451,1.48,1.93,0.0,7,2.19
2544,H0287,Lime Saddle,0,Pacific Gas & Electric (PG&E),Butte,2.0,"1, 2",WAT,8/1/1906 0:00,0.0,-121.570975,39.69875924,1.2,2.33,0.0,3,0.6
2545,H0121,Cresta,0,Pacific Gas & Electric (PG&E),Butte,70.0,"Unit 541, Unit 542",WAT,11/23/1949 0:00,0.0,-121.4097817,39.82591112,0.06,3.61,0.0,48,21.0
2546,H0395,Poe,0,Pacific Gas & Electric (PG&E),Butte,120.0,"Unit 548, Unit 549",WAT,10/26/1958 0:00,0.0,-121.4697486,39.72284307,1.11,3.14,0.0,19,36.0
